W,L,Nup,Ndown,E,time(ms), time(sec),
2,40,40,40,-317.5449267001231419,13586482,13586,
2,40,71,9,-110.5620648133384520,3483311,3483,
2,40,70,10,-121.6170281918731604,5021961,5021,
2,40,59,1,-55.2733206843126865,21897680,21897,
2,40,2,78,-25.8537737766060651,58356,58,
2,40,1,79,-12.9729743009937479,32761,32,
2,40,0,80,0.0000000000000000,129,0,
2,40,3,77,-38.5955615652488220,100261,100,
2,40,4,76,-51.1643164329797386,184618,184,
2,40,5,75,-63.5325776305646528,357979,357,
2,40,6,74,-75.6766517460759189,743487,743,
2,40,19,19,-160.3042983828610488,21658463,21658,
2,40,7,73,-87.5753874224235744,1205150,1205,
2,40,8,72,-99.2096421633898871,1615455,1615,
2,40,69,11,-132.3606347476561211,7954004,7954,
2,40,9,71,-110.5620648138964413,2866346,2866,
2,40,21,21,-176.0618632031682864,23208265,23208,
2,40,68,12,-142.7807569258341402,9272839,9272,
2,40,10,70,-121.6170281926219445,3857569,3857,
2,40,11,69,-132.3606347501808216,5555891,5555,
2,40,20,20,-168.2092407252597184,26002115,26002,
2,40,58,1,-56.2269287936954072,29414659,29414,
2,40,40,40,-317.5449266996953384,10748391,10748,
2,40,67,13,-152.8670914869315709,14579539,14579,
2,40,12,68,-142.7807569243048533,9144916,9144,
2,40,20,20,-168.2092407231055802,19557999,19557,
2,40,66,14,-162.6112150643326970,18852106,18852,
2,40,13,67,-152.8670914873540312,15003936,15003,
2,40,22,22,-183.8660773636607928,37396960,37396,
2,40,14,66,-162.6112150650850765,19076076,19076,
2,40,57,1,-57.1443868625520466,45146165,45146,
2,40,23,23,-191.6250284698293171,44321925,44321,
2,40,65,15,-172.0066205625427074,30582712,30582,
2,40,15,65,-172.0066205634776111,30347402,30347,
2,40,24,24,-199.3411194700770466,50442904,50442,
2,40,56,1,-58.0237173480593853,55745166,55745,
2,40,23,1,-55.4875974689684242,58958751,58958,
2,40,64,16,-181.0487413098887259,42780980,42780,
2,40,25,25,-207.0160929147282332,58722720,58722,
2,40,16,64,-181.0487413114368849,42831187,42831,
2,40,22,1,-54.4990655531250141,69996114,69996,
2,40,26,26,-214.6511469773530223,71346934,71346,
2,40,63,17,-189.7349656221460918,57562245,57562,
2,40,55,1,-58.8943274889438513,75670742,75670,
2,40,17,63,-189.7349656222278611,54209388,54209,
2,40,27,27,-222.2470507946414386,76536457,76536,
2,40,62,18,-198.0646139020217618,71200427,71200,
2,40,24,1,-56.4554839381571441,89862358,89862,
2,40,28,28,-229.8042468311553819,87328543,87328,
2,40,54,1,-59.7081269545878257,90097591,90097,
2,40,29,29,-237.3229390721278662,96296617,96296,
2,40,32,32,-259.6480079859895227,100091450,100091,
2,40,61,19,-206.0388883645174474,87602816,87602,
2,40,18,62,-198.0646139020118426,84593739,84593,
2,40,53,1,-60.4551748110818536,107696564,107696,
2,40,52,1,-61.1811045142688030,112067090,112067,
2,40,30,30,-244.8031694813203671,110445308,110445,
2,40,51,1,-61.8509891263098197,125993114,125993,
2,40,31,31,-252.2448863106586714,123308403,123308,
2,40,20,60,-213.6617589241561745,106646329,106646,
2,40,19,61,-206.0388883645451870,110650287,110650,
2,40,37,37,-296.0893800130949103,130256340,130256,
2,40,50,1,-62.4350036876644978,143827894,143827,
2,40,49,1,-63.0088527252371406,148854300,148854,
2,40,33,33,-267.0124880166980006,146043774,146043,
2,40,60,20,-213.6617589241561745,133398096,133398,
2,40,48,1,-63.4970940247949116,157205185,157205,
2,40,34,34,-274.3383898142764679,158270430,158270,
